  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
 2384 | Morelia                                                                                              | 2012-08-01 09:00:52.399841 | 2012-08-01 09:00:52.403917 | 
 2385 | Vaslui                                                                                               | 2012-08-01 09:00:52.408998 | 2012-08-01 09:00:52.412804 | 
 2387 | Vorskla                                                                                              | 2012-08-01 09:00:52.417249 | 2012-08-01 09:00:52.420833 | 
 2421 | Universidad De Chile                                                                                 | 2012-08-01 09:00:52.450687 | 2012-08-01 09:00:52.454309 | 
 2191 | Gefle                                                                                                | 2012-08-01 09:00:52.123297 | 2012-08-06 12:58:01.024577 | 7997
 2422 | Club Aurora                                                                                          | 2012-08-01 09:00:52.459306 | 2012-08-01 09:00:52.462473 | 
 2436 | Nocerina                                                                                             | 2012-08-01 09:00:52.467263 | 2012-08-01 09:00:52.470839 | 
 2782 | Portimonense                                                                                         | 2012-08-01 09:00:53.283822 | 2012-08-06 12:58:47.921408 | 9765
 2476 | Bermuda                                                                                              | 2012-08-01 09:00:52.483243 | 2012-08-01 09:00:52.486245 | 
 2477 | Barbados                                                                                             | 2012-08-01 09:00:52.490911 | 2012-08-01 09:00:52.494141 | 
 3000 | Panthrakikos                                                                                         | 2012-08-01 09:00:53.611134 | 2012-08-24 09:04:03.600634 | 104810
 2484 | Ethiopia                                                                                             | 2012-08-01 09:00:52.551176 | 2012-08-22 12:41:35.765719 | 121282
 2479 | Guinea-Bissau                                                                                        | 2012-08-01 09:00:52.506257 | 2012-08-01 09:00:52.509553 | 
